Batch,Total,Techniques,Workplace,Garage,Kitchen,Hall
1,6.25695,0.932833333,1.203383333,0.5261,1.378316667,2.216316667
2,7.508833334,0.934333333,2.310316667,0.83105,1.056316667,2.376816667
3,7.4575,0.931816667,1.449883333,1.188533333,1.39705,2.490216667
4,7.333433334,1.02205,0.582016667,1.257216667,1.597633333,2.874516667
5,6.733066667,1.1394,0.586566667,1.21085,1.595766667,2.200483333
6,6.533533334,1.391866667,0.6113,1.1122,1.59495,1.823216667
7,6.340100001,1.366216667,0.582516667,1.01565,1.598416667,1.7773
8,6.358933334,1.4319,1.044916667,0.505666667,1.5891,1.78735
9,6.802433333,1.6273,1.10575,0.532283333,1.588383333,1.948716667
10,6.22515,1.735383333,0.851883333,0.530766667,1.586,1.521116667
11,5.958116667,1.585083333,0.732216667,0.532066667,1.566983333,1.541766667
12,5.888116668,1.510316667,0.776166667,0.531466667,1.44115,1.629016667
13,6.127416667,1.459866667,1.0203,0.530516667,1.4407,1.676033333
14,5.718799999,0.840583333,1.336033333,0.529283333,1.438983333,1.573916667
15,4.9416,0.7032,0.577883333,0.53035,1.43975,1.690416667
16,4.717133333,0.571883333,0.48675,0.6886,1.4383,1.5316
17,5.401849999,0.485733333,0.5614,1.003233333,1.43615,1.915333333
18,5.956183333,0.523166667,0.86695,1.247083333,1.4358,1.883183333
19,6.382966667,0.5362,0.923616667,1.244133333,1.437316667,2.2417
20,6.182766667,0.53415,0.934216667,1.220433333,1.43445,2.059516667
21,7.245233334,0.533816667,0.856416667,1.247016667,1.434283333,3.1737
22,7.125116666,0.523633333,0.657966667,0.874383333,1.4328,3.636333333
23,5.065466666,0.57725,0.351383333,0.52745,1.524183333,2.0852
24,4.979116667,0.679566667,0.328516667,0.526766667,1.517583333,1.926683333
25,5.455716668,1.293166667,0.375716667,0.52765,1.521816667,1.737366667
26,5.318,1.546666667,0.4663,0.52725,1.621433333,1.15635
27,5.417966667,1.82235,0.4174,0.529116667,1.543166667,1.105933333
28,6.265416667,2.642516667,0.40805,0.527133333,1.498666667,1.18905
29,5.53165,1.73935,0.3983,0.5622,1.381266667,1.450533333
30,5.95085,1.1872,0.3591,0.784566667,1.03245,2.587533333
31,3.963866667,1.19095,0.5555,0.884933333,0.378166667,0.954316667
32,4.751316667,0.833083333,0.6133,1.388466667,0.374616667,1.54185
33,4.72065,0.834283333,0.932,1.268766667,0.373316667,1.312283333
34,4.865916666,0.840433333,0.9963,1.237033333,0.3714,1.42075
35,5.372299999,0.869733333,1.029433333,1.23165,0.431683333,1.8098
36,5.629766667,0.853883333,0.991116667,1.162566667,0.623483333,1.998716667
37,5.721616667,0.8491,0.93975,1.136866667,1.15905,1.63685
38,4.735966665,1.013333333,0.923183333,0.544183333,1.029883333,1.225383333
39,4.943783333,1.3159,0.5966,0.514983333,1.097916667,1.418383333
40,5.141933334,1.654516667,0.519983333,0.514566667,1.120666667,1.3322
41,4.753949999,1.582083333,0.494933333,0.5179,1.147783333,1.01125
42,4.765516668,1.440416667,0.459966667,0.51565,1.358966667,0.990516667
43,4.500383333,1.42185,0.384566667,0.5136,1.509133333,0.671233333
44,3.767333334,0.7322,0.415566667,0.5128,1.515016667,0.59175
45,3.831900001,0.523216667,0.326766667,0.670383333,1.520066667,0.791466667
46,4.90015,0.50875,0.5839,0.95025,1.455483333,1.401766667
47,5.308233333,0.613583333,0.58335,1.230433333,1.160716667,1.72015
48,5.1049,0.917666667,0.514333333,1.22595,0.773516667,1.673433333
49,4.7434,0.9594,0.493866667,1.202316667,0.407883333,1.679933333
50,5.069766667,0.918633333,0.937766667,1.117666667,0.4052,1.6905
51,5.18235,0.837,0.957266667,0.828266667,0.515533333,2.044283333
52,5.429616667,0.494866667,0.841233333,0.509533333,0.753666667,2.830316667
53,4.0839,0.5872,0.649916667,0.554433333,1.166816667,1.125533333
54,4.449733334,0.9307,0.65615,0.70515,1.184016667,0.973716667
55,5.002483333,1.36085,0.647683333,0.883133333,1.151766667,0.95905
56,4.587933333,1.36195,0.649633333,0.794633333,1.1749,0.606816667
57,4.368183334,1.149316667,1,0.794316667,1.09195,0.676783333
58,4.997266667,1.032816667,2,0.9062,1.08845,1.150216667
59,5.089966667,0.7142,1,1.12535,1.089666667,1.316166667
60,5.7437,0.497066667,1,1.6672,1.03305,1.332733333
61,5.640799999,0.465133333,1.20935,1.660883333,1.0062,1.299233333
62,5.058316667,0.512933333,1.200916667,1.658066667,0.44515,1.24125
63,5.264583333,0.651283333,1.1969,1.546366667,0.406933333,1.4631
64,4.847283333,0.71045,1.191283333,1.4719,0.4793,0.99435
65,5.257066666,1.195683333,1.162333333,1.39045,0.5225,0.9861
66,5.4367,1.184766667,1.26655,1.096,0.90395,0.985433333
67,5.171150001,1.157433333,1.244766667,0.786616667,0.999266667,0.983066667
68,5.507783334,0.815616667,1.4683,0.7841,1.46405,0.975716667
69,5.494866666,0.61905,1.4908,0.784483333,1.550433333,1.0501
70,5.617783334,0.754166667,1.4136,0.781566667,1.547316667,1.121133333
71,5.972550001,1.042116667,1.36025,0.785266667,1.546666667,1.23825
72,6.3198,1.324533333,1.36235,0.783433333,1.541866667,1.307616667
73,6.405216667,1.359466667,1.3758,0.782833333,1.4967,1.390416667
74,6.257916667,1.3133,1.379166667,0.78265,1.344383333,1.438416667
75,6.300933333,1.603183333,1.437983333,0.865933333,1.012566667,1.381266667
76,5.688450001,1.208766667,2.254666667,0.926416667,0.46315,0.83545
77,7.352183334,1.072566667,3.39335,1.47585,0.40925,1.001166667
78,6.593783334,1.0283,2.69695,1.4796,0.408316667,0.980616667
79,5.759483333,1.025233333,1.868783333,1.477066667,0.409666667,0.978733333
80,5.921483334,1.025866667,1.849816667,1.420366667,0.47865,1.146783333
81,5.785550001,1.095533333,1.463366667,1.374916667,0.563016667,1.288716667
82,5.882933333,0.99885,1.452266667,0.894483333,0.815433333,1.7219
83,6.087050001,0.584066667,1.455716667,0.766516667,1.476533333,1.804216667
84,5.803466667,0.568116667,1.4764,0.766033333,1.599166667,1.39375
85,5.756183333,0.5922,1.464583333,0.7666,1.544833333,1.387966667
86,7.367416667,0.6984,2.941366667,0.766566667,1.502283333,1.4588
87,7.82705,0.872033333,3.368066667,0.7683,1.295,1.52365
88,7.364050001,1.318816667,2.216666667,0.775283333,1.200066667,1.853216667
89,6.602983334,1.3866,1.918016667,0.767066667,0.716516667,1.814783333
90,6.336633333,1.384583333,1.898733333,0.766833333,0.643416667,1.643066667
91,5.829016667,1.2114,1.810266667,0.882166667,0.6929,1.232283333
92,5.913616666,1.07305,1.479083333,1.014983333,1.03135,1.31515
93,6.136350001,0.891583333,0.918466667,1.483266667,1.116616667,1.726416667
94,6.119633334,0.8999,0.777316667,1.47545,1.244516667,1.72245
95,6.518016666,0.830633333,0.7786,1.483033333,1.712183333,1.713566667
96,6.064716667,0.572466667,0.7806,1.406566667,1.671033333,1.63405
97,6.975016666,0.4222,0.820083333,1.368583333,1.617783333,2.746366667
98,6.754666667,0.421366667,1.003183333,0.7987,1.242816667,3.2886
99,7.046983333,0.4195,1.62535,0.774883333,1.200866667,3.026383333
100,7.356983334,0.506516667,1.952966667,0.725616667,1.16025,3.011633333
101,5.678183334,0.6223,1.932916667,0.60085,0.706466667,1.81565
102,5.449466666,0.951366667,1.904333333,0.316933333,0.555033333,1.7218
103,5.4993,0.981,1.670966667,0.3148,0.5538,1.978733333
104,4.763316667,1.0481,1.397883333,0.31425,0.554266667,1.448816667
105,5.248099999,1.376433333,1.283983333,0.3153,0.5946,1.677783333
106,6.796483335,1.616016667,1.228316667,0.365016667,0.639916667,2.947216667
107,6.61845,1.613416667,0.730666667,0.472783333,0.952683333,2.8489
108,5.4219,1.573383333,0.618066667,0.445916667,1.1615,1.623033333
109,5.828166666,1.44585,0.7075,0.60695,1.517333333,1.550533333
110,6.354050001,0.940916667,1.259366667,0.767166667,1.695783333,1.690816667
111,7.471966667,0.418883333,2.3165,1.243666667,1.69315,1.799766667
112,7.998733334,0.41945,2.382016667,1.573416667,1.66515,1.9587
113,6.688816667,0.418216667,1.162783333,1.56585,1.576016667,1.96595
114,6.635116667,0.4286,1.383566667,1.503133333,1.203,2.116816667
